id,name,state,district,latitude,longitude,area_coverage,altitude,description,source,submitted_at,user
1534,Bhoramdev Temple Chhattisgarh,Chhattisgarh,,22.115137,81.148150,,,,approved,,
1535,Keora Kund,Chhattisgarh,,20.146088,81.721640,,,,approved,,
1536,Sidh Baba Tapobhumi Bhaji Dongari,Chhattisgarh,,21.798165,80.914134,,,,approved,,
1537,Dukari Ghatiya Putputa,Chhattisgarh,,22.406617,81.362456,,,,approved,,
1538,Dokari Dayi Bhelki,Chhattisgarh,,22.486485,81.372618,,,,approved,,
1539,Ghurri Dongari Kodawa,Chhattisgarh,,21.464399,82.078219,,,,approved,,
1540,Narsingh Sthal Kamthi,Chhattisgarh,,22.344031,81.427231,,,,approved,,
1541,Bamhan Dayi Jhiriya Kala,Chhattisgarh,,22.254055,81.456364,,,,approved,,
1542,Singhal Dayi Narsinhpur,Chhattisgarh,,22.269382,81.499035,,,,approved,,
1543,Chandi Mandir Badaura,Chhattisgarh,,22.274447,81.466116,,,,approved,,
1544,Charan Tirath Gadaghat,Chhattisgarh,,21.376494,81.282928,,,,approved,,
1545,Kankalin Mandir Pacharahi,Chhattisgarh,,22.302281,81.289032,,,,approved,,
1546,"Thakur Dev , Sirmi",Chhattisgarh,,22.234229,81.316709,,,,approved,,
1547,Birkha Dev,Chhattisgarh,,20.875269,81.460249,,,,approved,,
1548,Devachi Rai Ibrampur,Goa,,15.714024,73.927983,,,,approved,,
1549,Devachi Rai of Hankhan Ibrampur,Goa,,15.716748,73.931157,,,,approved,,
1550,Rashtrolyachi Rai of Tembwada Hankhane Ibrampur,Goa,,15.731585,73.940097,,,,approved,,
1551,Pirapeth of Angodwada Ibrampur,Goa,,15.712865,73.914592,,,,approved,,
1552,Devachi Rai Varconda,Goa,,15.728182,73.848980,,,,approved,,
1553,Nagardeshwar Virnoda,Goa,,15.732219,73.846912,,,,approved,,
1554,Zalmyachi Rai,Goa,,15.709138,73.713562,,,,approved,,
1555,Devachi Rai Cudnem,Goa,,15.538002,74.024436,,,,approved,,
1556,Barazan Cudchirem,Goa,,15.710786,73.731162,,,,approved,,
1557,Sidhdachi Rai of Vadaval Latambarcem,Goa,,15.657713,73.938888,,,,approved,,
1558,Barazan Mencurem,Goa,,15.710807,73.731097,,,,approved,,
1559,Dad Devachi Rai Mulgao,Goa,,15.616391,73.911899,,,,approved,,
1560,Nirankaryachi Rai of Vathadev Sarvona,Goa,,15.576452,73.977077,,,,approved,,
1561,kontinchya Ajyachi Rai Surla,Goa,,15.509204,74.033343,,,,approved,,
1562,Devachi Rai Birondem,Goa,,15.492576,74.124534,,,,approved,,
1563,Devachi Rai Buimpal,Goa,,15.542852,74.085963,,,,approved,,
1564,Devachi Rai Carambolim Buzruco,Goa,,15.494494,73.939983,,,,approved,,
1565,Holiyechi Rai Caranzol,Goa,,15.362303,74.306201,,,,approved,,
1566,Karalyachi Rai Caranzol,Goa,,15.370745,74.288176,,,,approved,,
1567,Devachi Rai Choraundem,Goa,,15.639867,74.122856,,,,approved,,
1568,Garamthan Kendua,West Bengal,,24.972655,88.243445,,,,approved,,
1569,Jualbhanga Than Kendua,West Bengal,,24.963084,88.256706,,,,approved,,
1570,Kashibandh,Jharkhand,,24.184848,84.763766,,,,approved,,
